name,year,InequalityRate,property rights,government integrity,judicial effectiveness,tax burden,government spending,fiscal health,business freedom,labor freedom,monetary freedom,trade freedom,investment freedom,financial freedom
Austria,2018,4,83.5,73.5,80.9,49.9,19.4,81.1,75.5,66.7,83.7,86.9,90,70
Belgium,2018,3.78,81.2,70.9,69.5,44,12.1,67.9,80.6,59.5,82.6,86.9,85,70
Bulgaria,2018,7.66,63.6,38.2,42.5,90.9,60.5,94.3,64.3,66.1,82.8,86.9,70,60
Croatia,2018,5,65.9,40.5,56.5,66,32.5,67.2,58.9,43,79.1,87.4,75,60
Cyprus,2018,4.29,71.2,41.3,56.7,75.2,52.9,79.3,77,55.7,83,86.9,75,60
Denmark,2018,4.11,84.8,84.1,83.6,41.4,10.6,96.7,92.5,82.8,86.4,86.9,90,80
Estonia,2018,5.07,80.4,75.7,83.9,80.7,52.6,99.8,75.6,54.8,85.1,86.9,90,80
Finland,2018,3.6,89,89.8,82.7,66.5,2.3,81.1,89.9,50.5,86,86.9,85,80
France,2018,4.325,84,65.1,72.7,47.3,2.7,60.8,80.2,45,81.6,81.9,75,70
Germany,2018,5.07,81,75.3,78,61.3,41.3,90.8,86.1,53.3,86.2,86.9,80,70
Greece,2018,5.51,52.3,37.9,59,60.4,20.9,70.5,74.4,54.4,81,81.9,55,40
Iceland,2018,3.275,86.7,77.3,72.6,72.1,44.2,94.3,89.5,61.8,81.7,88.5,85,70
Ireland,2018,4.6,87.7,79,79,76.1,69.6,80.8,81.8,76.4,87.4,86.9,90,70
Italy,2018,6.09,71.2,40.1,60.9,55.2,24.1,68.2,70.3,50.3,88.2,86.9,85,50
Latvia,2018,6.8,68.3,45.4,58.9,84,59,95.3,80.1,72.5,87.3,86.9,85,60
Lithuania,2018,7.09,73.8,50.9,66.7,86.4,63.9,96.7,73.4,64.5,89.9,86.9,80,70
Luxembourg,2018,4.675,82.7,79,77.9,65.1,48.5,99,69.2,46.2,87.6,86.9,95,80
Malta,2018,4.28,68.1,49.9,62.8,64.7,51,90,64,61.1,78.8,86.9,85,60
Netherlands,2018,3.99,87.9,86,74.1,52.5,39.1,88.2,80.5,61.5,87.5,86.9,90,80
Norway,2018,3.71,86.4,93.6,86,56.4,29.2,97.8,90.4,54.6,73.9,87.9,75,60
Poland,2018,4.25,61.8,50.9,56.6,75.9,47.8,81.5,67.2,63.9,85,86.9,75,70
Portugal,2018,5.22,69.2,56.8,70.1,59.8,29.8,46,83.2,44.1,85.3,86.9,70,60
Romania,2018,7.2,61,40,59.7,87.3,66.9,91.1,65.2,66.8,82.8,86.9,75,50
Slovakia,2018,3.625,68.2,38.2,38.8,78.9,44.3,84.9,63.9,54,81,86.9,75,70
Slovenia,2018,3.4,76.6,52.1,57.7,58.7,31.2,66.3,79.5,61.3,87.3,86.9,70,50
Spain,2018,6.03,73.1,51.5,62,62,42.8,36.1,66.3,59,86.7,86.9,85,70
Sweden,2018,4.13,92.6,92.9,88.2,43.9,23.2,96.1,89.3,53.7,83.8,86.9,85,80
Switzerland,2018,4.475,84.2,82.8,82.1,70.5,65.4,95.9,75.7,73.9,85.2,90,85,90
Turkey,2018,8.55,54.7,42,54.5,74.7,68.1,93.6,63.3,47.6,72.3,78.6,75,60
United Kingdom,2018,5.2,92.2,79,93.8,65.2,44.4,53.5,91.1,74.4,85.2,86.9,90,80
Austria,2017,4.3,86,75.2,81.8,50.3,19.3,79.7,76.9,67.6,83.4,87,90,70
Belgium,2017,3.8,83.3,71.5,69.3,44.1,9.6,66.3,82,61.1,84.9,87,85,70
Bulgaria,2017,8.2,62.5,41.8,38.9,91,58.4,86.4,66.7,68.3,83.3,87,70,60
Croatia,2017,5,65.5,43.4,56.8,66.8,31.3,44.7,58.2,43.3,80.3,87.4,75,60
Cyprus,2017,4.6,75.4,53.6,60.7,73,48.8,72.9,75.8,58.6,83.3,87,75,50
Denmark,2017,4.1,86.7,84.9,68.5,37.2,5.7,95.4,93.9,85.8,85.5,87,90,80
Estonia,2017,5.4,82.6,69.9,82.8,81.2,55.8,99.8,77,56.9,85.7,87,90,80
Finland,2017,3.5,90.6,90,82.7,66.6,0,77.3,90.2,53.4,85.1,87,85,80
France,2017,4.4,85,69.7,72.7,47.6,2,57,78,44.1,81.6,82,70,70
Germany,2017,4.5,82.9,77.7,79.5,61.9,41.4,89.9,86.6,42.8,85.9,87,80,70
